text,predicted_labels
"Дистанционное обучение удобно, но дети теряют живое общение с одноклассниками.",Качество образования в школах
"Нужно больше практики в высших учебных заведениях, чтобы студенты могли применять знания на практике.","Качество высшего образования; Кадровые вопросы, трудоустройство в учреждениях высшего и послевузовского образования"
"Мой ребёнок с удовольствием ходит в садик, воспитатели добрые, много развивающих занятий!",Качество преподавания (воспитания); Культурно-досуговая деятельность в дошкольных учреждениях
"Преподаватели часто перегружены работой, а зарплата не соответствует нагрузке.","Кадровые вопросы, трудоустройство в школах; Оплата труда и меры социальной поддержки в школах"
"После окончания школы я понял, что многие знания были бесполезны для реальной жизни.",Качество образования в школах
Учебная нагрузка в школе просто огромная! Детям нужен отдых.,"Кадровые вопросы, трудоустройство в школах"
"Студентам нужно больше поддержки от вузов, особенно при трудностях с финансами или адаптацией.",Наличие бюджетных мест в высших учебных заведениях; Прием/поступление в вузы на целевое обучение; Прием/поступление в вузы по льготе
"Цены на допобразование зашкаливают, пора бы сделать больше бесплатных программ для детей.","Доступность дополнительного образования; Сбор денег, коррупция в учреждениях дополнительного образования"
"Очередь в садик — это ужас! Ждём уже полгода, а ребёнку надо идти на развитие.",Наличие мест в дошкольных учреждениях
Мой друг недавно закончил колледж и уже работает в своей сфере. Образование действительно помогает найти работу.,"Кадровые вопросы, трудоустройство в средних специальных образовательных организациях"
В некоторых странах школьники получают больше свободы для творчества и экспериментов. Почему мы этого не делаем?,Воспитательная и патриотическая работа в школе
"Мой преподаватель был таким строгим, что даже воздух в классе казался напряжённым. Но он был лучшим!","Кадровые вопросы, трудоустройство в школах; Качество образования в школах"
"У моего ребёнка расписание как у министра: танцы, английский, шахматы... Когда же играть-то?",Доступность дополнительного образования; Качество дополнительного образования
"Зарплаты преподавателей в вузах слишком низкие. Неудивительно, что многие уходят в бизнес.","Кадровые вопросы, трудоустройство в учреждениях высшего и послевузовского образования; Оплата труда и меры социальной поддержки сотрудников вузов"
"Живу в общежитии. Холодно, шумно, соседи не самые приятные. Но хотя бы место есть.",Условия проживания студентов средних специальных образовательных организаций; Условия проживания студентов вузов; Состояние зданий и помещений учреждений высшего и послевузовского образования
В университете часто возникают конфликты между преподавателями и студентами. Часто виноваты обе стороны.,"Качество высшего образования; Конфликтные ситуации в вузах; Сбор денег, коррупция в вузах; Лицензирование и аттестация вузов"
"Нам повезло — сад новый, светлый, просторный. Даже игровая зона на улице отличная.",Состояние зданий и помещений дошкольных учреждений; Наличие/Отсутствие дошкольных учреждений; Обеспеченность дошкольных учреждений
"Почему у нянечек зарплата меньше, чем у воспитателей? Они тоже важны!","Оплата труда и меры социальной поддержки в детсадах; Кадровые вопросы, трудоустройство в дошкольных учреждениях"
Очередь на место в саду — как на квартиру. Годами ждали.,Наличие/Отсутствие дошкольных учреждений; Наличие мест в дошкольных учреждениях
Дополнительное профессиональное образование — это шанс развиваться дальше,"Обеспеченность средних специальных образовательных организаций; Кадровые вопросы, трудоустройство в средних специальных образовательных организациях; Качество образования в средних специальных образовательных организациях; Цифровизация образования в средних специальных образовательных организациях"
Дополнительное образование должно быть шансом а не испытанием,Цифровизация образования в школах; Цифровизация образования в учреждениях высшего и послевузовского образования
