text,predicted_labels,cleaned_text,categories
"Нужно больше практики в высших учебных заведениях, чтобы студенты могли применять знания на практике.","Качество высшего образования; Кадровые вопросы, трудоустройство в учреждениях высшего и послевузовского образования",практики высших учебных заведениях студенты могли применять знания практике,"['Высшее образование', 'Послевузовское образование (аспирантура и ординатура)']"
"Мой ребёнок с удовольствием ходит в садик, воспитатели добрые, много развивающих занятий!",Качество преподавания (воспитания); Культурно-досуговая деятельность в дошкольных учреждениях,ребнок удовольствием ходит садик воспитатели добрые развивающих занятий,['Дошкольное образование']
"Преподаватели часто перегружены работой, а зарплата не соответствует нагрузке.","Кадровые вопросы, трудоустройство в школах; Оплата труда и меры социальной поддержки в школах",преподаватели перегружены работой зарплата соответствует нагрузке,['Школьное образование']
"После окончания школы я понял, что многие знания были бесполезны для реальной жизни.",Качество образования в школах,окончания школы понял многие знания бесполезны реальной жизни,['Школьное образование']
Учебная нагрузка в школе просто огромная! Детям нужен отдых.,"Кадровые вопросы, трудоустройство в школах",учебная нагрузка школе огромная детям нужен отдых,['Школьное образование']
"Студентам нужно больше поддержки от вузов, особенно при трудностях с финансами или адаптацией.",Наличие бюджетных мест в высших учебных заведениях; Прием/поступление в вузы на целевое обучение; Прием/поступление в вузы победителе и призеров олимпиад,студентам поддержки вузов трудностях финансами адаптацией,['Высшее образование']
"Цены на допобразование зашкаливают, пора бы сделать больше бесплатных программ для детей.","Доступность дополнительного образования; Сбор денег, коррупция в учреждениях дополнительного образования",цены допобразование зашкаливают бесплатных программ детей,['Дополнительное образование']
"Очередь в садик — это ужас! Ждём уже полгода, а ребёнку надо идти на развитие.",Наличие мест в дошкольных учреждениях,очередь садик ужас ждм полгода ребнку развитие,['Дошкольное образование']
Мой друг недавно закончил колледж и уже работает в своей сфере. Образование действительно помогает найти работу.,"Кадровые вопросы, трудоустройство в средних специальных образовательных организациях",закончил колледж работает сфере образование помогает работу,"['Среднее специальное образование (колледж, техникум)']"
В некоторых странах школьники получают больше свободы для творчества и экспериментов. Почему мы этого не делаем?,Воспитательная и патриотическая работа в школе,некоторых странах школьники получают свободы творчества экспериментов делаем,['Школьное образование']
"Мой преподаватель был таким строгим, что даже воздух в классе казался напряжённым. Но он был лучшим!","Кадровые вопросы, трудоустройство в школах; Качество образования в школах",преподаватель таким строгим воздух классе казался напряжнным лучшим,['Школьное образование']
"У моего ребёнка расписание как у министра: танцы, английский, шахматы... Когда же играть-то?",Доступность дополнительного образования; Качество дополнительного образования,моего ребнка расписание министра танцы английский шахматы игратьто,['Дополнительное образование']
"Зарплаты преподавателей в вузах слишком низкие. Неудивительно, что многие уходят в бизнес.","Кадровые вопросы, трудоустройство в учреждениях высшего и послевузовского образования; Оплата труда и меры социальной поддержки сотрудников вузов",зарплаты преподавателей вузах низкие неудивительно многие уходят бизнес,['Послевузовское образование (аспирантура и ординатура)']
"Живу в общежитии. Холодно, шумно, соседи не самые приятные. Но хотя бы место есть.",Условия проживания студентов средних специальных образовательных организаций; Условия проживания студентов вузов; Состояние зданий и помещений учреждений высшего и послевузовского образования,живу общежитии холодно шумно соседи самые приятные,"['Среднее специальное образование (колледж, техникум)', 'Высшее образование', 'Послевузовское образование (аспирантура и ординатура)']"
В университете часто возникают конфликты между преподавателями и студентами. Часто виноваты обе стороны.,"Качество высшего образования; Конфликтные ситуации в вузах; Сбор денег, коррупция в вузах; Лицензирование и аттестация вузов",университете возникают конфликты преподавателями студентами виноваты обе стороны,"['Высшее образование', 'Послевузовское образование (аспирантура и ординатура)']"
"Нам повезло — сад новый, светлый, просторный. Даже игровая зона на улице отличная.",Состояние зданий и помещений дошкольных учреждений; Наличие/Отсутствие дошкольных учреждений; Обеспеченность дошкольных учреждений,повезло сад светлый просторный игровая зона улице отличная,['Дошкольное образование']
"Почему у нянечек зарплата меньше, чем у воспитателей? Они тоже важны!","Оплата труда и меры социальной поддержки в детсадах; Кадровые вопросы, трудоустройство в дошкольных учреждениях",нянечек зарплата воспитателей важны,['Дошкольное образование']
Очередь на место в саду — как на квартиру. Годами ждали.,Наличие/Отсутствие дошкольных учреждений; Наличие мест в дошкольных учреждениях,очередь саду квартиру годами ждали,['Дошкольное образование']
Дополнительное профессиональное образование — это шанс развиваться дальше,"Обеспеченность средних специальных образовательных организаций; Кадровые вопросы, трудоустройство в средних специальных образовательных организациях; Качество образования в средних специальных образовательных организациях; Цифровизация образования в средних специальных образовательных организациях",дополнительное профессиональное образование шанс развиваться,"['Среднее специальное образование (колледж, техникум)']"
Дополнительное образование должно быть шансом а не испытанием,Цифровизация образования в школах; Цифровизация образования в учреждениях высшего и послевузовского образования,дополнительное образование шансом испытанием,"['Послевузовское образование (аспирантура и ординатура)', 'Школьное образование']"
